image_00000.png: close-up portrait of a 5 years old Caucasian man, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 019340_43544.png)
image_00044.png: close-up portrait of a 15 years old Native American man, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 005171_45694.png)
image_00045.png: close-up portrait of a 15 years old Native American woman, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 054819_38069.png)
image_00046.png: close-up portrait of a 15 years old Pacific Islander man, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 006012_19423.png)
image_00047.png: close-up portrait of a 15 years old Pacific Islander woman, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 023354_67674.png)
image_00048.png: close-up portrait of a 20 years old Caucasian man, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 010568_48919.png)
image_00049.png: close-up portrait of a 20 years old Caucasian woman, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 061073_21123.png)
image_00050.png: close-up portrait of a 20 years old African man, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 045501_41118.png)
image_00051.png: close-up portrait of a 20 years old African woman, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 049641_54457.png)
image_00052.png: close-up portrait of a 20 years old Asian man, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 069031_47889.png)
image_00053.png: close-up portrait of a 20 years old Asian woman, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 066593_19772.png)
image_00054.png: close-up portrait of a 20 years old Hispanic man, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 005512_25880.png)
image_00055.png: close-up portrait of a 20 years old Hispanic woman, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 019808_66459.png)
image_00056.png: close-up portrait of a 20 years old Middle Eastern man, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 042884_35176.png)
image_00057.png: close-up portrait of a 20 years old Middle Eastern woman, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 032813_11198.png)
image_00058.png: close-up portrait of a 20 years old South Asian man, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 028542_49525.png)
image_00059.png: close-up portrait of a 20 years old South Asian woman, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 055340_04813.png)
image_00060.png: close-up portrait of a 20 years old Native American man, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 020189_62948.png)
image_00061.png: close-up portrait of a 20 years old Native American woman, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 044809_59457.png)
image_00062.png: close-up portrait of a 20 years old Pacific Islander man, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 066246_29267.png)
image_00063.png: close-up portrait of a 20 years old Pacific Islander woman, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 002845_56810.png)
image_00064.png: close-up portrait of a 25 years old Caucasian man, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 008771_02648.png)
image_00065.png: close-up portrait of a 25 years old Caucasian woman, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 056370_56980.png)
image_00066.png: close-up portrait of a 25 years old African man, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 025303_30686.png)
image_00067.png: close-up portrait of a 25 years old African woman, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 042170_15358.png)
image_00068.png: close-up portrait of a 25 years old Asian man, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 036836_52280.png)
image_00069.png: close-up portrait of a 25 years old Asian woman, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 044515_66140.png)
image_00070.png: close-up portrait of a 25 years old Hispanic man, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 023798_65190.png)
image_00071.png: close-up portrait of a 25 years old Hispanic woman, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 051651_42141.png)
image_00072.png: close-up portrait of a 25 years old Middle Eastern man, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 043401_15633.png)
image_00073.png: close-up portrait of a 25 years old Middle Eastern woman, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 042215_28185.png)
image_00074.png: close-up portrait of a 25 years old South Asian man, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 023390_18519.png)
image_00075.png: close-up portrait of a 25 years old South Asian woman, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 008747_18575.png)
image_00076.png: close-up portrait of a 25 years old Native American man, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 069131_02678.png)
image_00077.png: close-up portrait of a 25 years old Native American woman, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 017276_04492.png)
image_00078.png: close-up portrait of a 25 years old Pacific Islander man, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 054843_55371.png)
image_00079.png: close-up portrait of a 25 years old Pacific Islander woman, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 039809_07483.png)
image_00080.png: close-up portrait of a 30 years old Caucasian man, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 041485_36529.png)
image_00081.png: close-up portrait of a 30 years old Caucasian woman, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 002822_14094.png)
image_00082.png: close-up portrait of a 30 years old African man, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 018931_30843.png)
image_00083.png: close-up portrait of a 30 years old African woman, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 020196_32264.png)
image_00084.png: close-up portrait of a 30 years old Asian man, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 032803_39863.png)
image_00085.png: close-up portrait of a 30 years old Asian woman, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 051173_17771.png)
image_00086.png: close-up portrait of a 30 years old Hispanic man, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 025715_39324.png)
image_00087.png: close-up portrait of a 30 years old Hispanic woman, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 015745_09545.png)
image_00088.png: close-up portrait of a 30 years old Middle Eastern man, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 054397_15412.png)
image_00089.png: close-up portrait of a 30 years old Middle Eastern woman, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 024557_19283.png)
image_00090.png: close-up portrait of a 30 years old South Asian man, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 047219_14347.png)
image_00091.png: close-up portrait of a 30 years old South Asian woman, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 047499_21548.png)
image_00092.png: close-up portrait of a 30 years old Native American man, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 058905_03477.png)
image_00093.png: close-up portrait of a 30 years old Native American woman, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 016448_50081.png)
image_00094.png: close-up portrait of a 30 years old Pacific Islander man, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 010918_66063.png)
image_00095.png: close-up portrait of a 30 years old Pacific Islander woman, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 054038_59765.png)
image_00096.png: close-up portrait of a 40 years old Caucasian man, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 038064_68177.png)
image_00097.png: close-up portrait of a 40 years old Caucasian woman, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 066167_17590.png)
image_00098.png: close-up portrait of a 40 years old African man, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 031635_46299.png)
image_00099.png: close-up portrait of a 40 years old African woman, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 061830_51324.png)
image_00100.png: close-up portrait of a 40 years old Asian man, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 062673_55613.png)
image_00101.png: close-up portrait of a 40 years old Asian woman, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 011877_15903.png)
image_00102.png: close-up portrait of a 40 years old Hispanic man, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 039703_29124.png)
image_00103.png: close-up portrait of a 40 years old Hispanic woman, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 047341_68434.png)
image_00104.png: close-up portrait of a 40 years old Middle Eastern man, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 018434_49193.png)
image_00105.png: close-up portrait of a 40 years old Middle Eastern woman, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 003128_03630.png)
image_00106.png: close-up portrait of a 40 years old South Asian man, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 063637_22243.png)
image_00107.png: close-up portrait of a 40 years old South Asian woman, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 010289_50833.png)
image_00108.png: close-up portrait of a 40 years old Native American man, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 044079_33173.png)
image_00109.png: close-up portrait of a 40 years old Native American woman, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 032147_28567.png)
image_00110.png: close-up portrait of a 40 years old Pacific Islander man, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 043857_08705.png)
image_00111.png: close-up portrait of a 40 years old Pacific Islander woman, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 049874_52407.png)
image_00112.png: close-up portrait of a 50 years old Caucasian man, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 042163_06321.png)
image_00113.png: close-up portrait of a 50 years old Caucasian woman, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 024754_12785.png)
image_00114.png: close-up portrait of a 50 years old African man, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 058687_19226.png)
image_00115.png: close-up portrait of a 50 years old African woman, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 043566_51205.png)
image_00116.png: close-up portrait of a 50 years old Asian man, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 031778_09107.png)
image_00117.png: close-up portrait of a 50 years old Asian woman, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 012736_40485.png)
image_00118.png: close-up portrait of a 50 years old Hispanic man, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 008100_67448.png)
image_00119.png: close-up portrait of a 50 years old Hispanic woman, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 031096_66907.png)
image_00120.png: close-up portrait of a 50 years old Middle Eastern man, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 029938_18527.png)
image_00121.png: close-up portrait of a 50 years old Middle Eastern woman, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 009253_65560.png)
image_00122.png: close-up portrait of a 50 years old South Asian man, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 036436_63831.png)
image_00123.png: close-up portrait of a 50 years old South Asian woman, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 048231_05795.png)
image_00124.png: close-up portrait of a 50 years old Native American man, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 041863_40049.png)
image_00125.png: close-up portrait of a 50 years old Native American woman, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 008291_26335.png)
image_00126.png: close-up portrait of a 50 years old Pacific Islander man, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 025833_28912.png)
image_00127.png: close-up portrait of a 50 years old Pacific Islander woman, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 068115_64877.png)
image_00128.png: close-up portrait of a 60 years old Caucasian man, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 038166_02444.png)
image_00129.png: close-up portrait of a 60 years old Caucasian woman, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 053501_67214.png)
image_00130.png: close-up portrait of a 60 years old African man, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 068708_16969.png)
image_00131.png: close-up portrait of a 60 years old African woman, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 062263_38673.png)
image_00132.png: close-up portrait of a 60 years old Asian man, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 050561_25964.png)
image_00133.png: close-up portrait of a 60 years old Asian woman, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 068038_13137.png)
image_00134.png: close-up portrait of a 60 years old Hispanic man, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 058128_51161.png)
image_00135.png: close-up portrait of a 60 years old Hispanic woman, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 000206_23226.png)
image_00136.png: close-up portrait of a 60 years old Middle Eastern man, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 046337_19616.png)
image_00137.png: close-up portrait of a 60 years old Middle Eastern woman, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 027790_18795.png)
image_00138.png: close-up portrait of a 60 years old South Asian man, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 025070_61679.png)
image_00139.png: close-up portrait of a 60 years old South Asian woman, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 002497_54998.png)
image_00140.png: close-up portrait of a 60 years old Native American man, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 046325_35873.png)
image_00141.png: close-up portrait of a 60 years old Native American woman, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 039998_52848.png)
image_00142.png: close-up portrait of a 60 years old Pacific Islander man, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 024653_36500.png)
image_00143.png: close-up portrait of a 60 years old Pacific Islander woman, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 023540_10471.png)
image_00144.png: close-up portrait of a 70 years old Caucasian man, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 069189_50613.png)
image_00145.png: close-up portrait of a 70 years old Caucasian woman, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 052672_15992.png)
image_00146.png: close-up portrait of a 70 years old African man, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 034755_30090.png)
image_00147.png: close-up portrait of a 70 years old African woman, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 024013_16844.png)
image_00148.png: close-up portrait of a 70 years old Asian man, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 046916_10111.png)
image_00149.png: close-up portrait of a 70 years old Asian woman, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 018832_19331.png)
image_00150.png: close-up portrait of a 70 years old Hispanic man, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 020548_43618.png)
image_00151.png: close-up portrait of a 70 years old Hispanic woman, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 058634_43651.png)
image_00152.png: close-up portrait of a 70 years old Middle Eastern man, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 044095_26899.png)
image_00153.png: close-up portrait of a 70 years old Middle Eastern woman, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 040944_02815.png)
image_00154.png: close-up portrait of a 70 years old South Asian man, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 012621_32245.png)
image_00155.png: close-up portrait of a 70 years old South Asian woman, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 007555_50814.png)
image_00156.png: close-up portrait of a 70 years old Native American man, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 056762_38633.png)
image_00157.png: close-up portrait of a 70 years old Native American woman, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 000726_54439.png)
image_00158.png: close-up portrait of a 70 years old Pacific Islander man, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 004123_33447.png)
image_00159.png: close-up portrait of a 70 years old Pacific Islander woman, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 029334_38370.png)
image_00160.png: close-up portrait of a 80 years old Caucasian man, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 069707_60520.png)
image_00161.png: close-up portrait of a 80 years old Caucasian woman, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 032546_48949.png)
image_00162.png: close-up portrait of a 80 years old African man, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 046884_44309.png)
image_00163.png: close-up portrait of a 80 years old African woman, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 010836_21427.png)
image_00164.png: close-up portrait of a 80 years old Asian man, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 029688_57793.png)
image_00165.png: close-up portrait of a 80 years old Asian woman, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 036149_58195.png)
image_00166.png: close-up portrait of a 80 years old Hispanic man, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 057611_33204.png)
image_00167.png: close-up portrait of a 80 years old Hispanic woman, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 007527_38861.png)
image_00168.png: close-up portrait of a 80 years old Middle Eastern man, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 010309_09407.png)
image_00169.png: close-up portrait of a 80 years old Middle Eastern woman, highly detailed, ultra realistic, hyper detailed face, studio lighting, sharp focus, professional photography, 8k (Input: 024351_30808.png)
